session_id,charger_id,city,connector_type,max_power_kw,location_type,start_time,end_time,energy_delivered_kwh,peak_power_kw,avg_power_kw,session_duration_min,soc_start,soc_end,month_year
ea90d88f-1c8,EVC-AHM-0095,Ahmedabad,CHAdeMO,120,Office,2023-01-02T02:38:00,2023-01-02T05:09:00,275.85,130.23,109.61,151,40,100,2023-01
99b717e5-d18,EVC-SUR-0093,Surat,CHAdeMO,60,Highway,2023-01-02T09:28:00,2023-01-02T12:53:00,102.19,30.42,29.91,205,8,77,2023-01
63c5b9ce-262,EVC-BHA-0035,Bharuch,Type2_AC,7.4,Public,2023-01-02T09:09:00,2023-01-02T10:58:00,6.55,4.14,3.61,109,14,44,2023-01
ab4c87cb-030,EVC-JAM-0024,Jamnagar,CCS2,7.4,Office,2023-01-02T14:48:00,2023-01-02T15:06:00,1.8,6.3,5.99,18,33,70,2023-01
6a65cfca-279,EVC-SUR-0032,Surat,Bharat_DC,50,Public,2023-01-02T20:03:00,2023-01-02T20:36:00,17.27,36.57,31.4,33,18,73,2023-01
dfa27fdd-238,EVC-JAM-0043,Jamnagar,Type2_AC,60,Office,2023-01-03T09:06:00,2023-01-03T12:40:00,184.04,58.46,51.6,214,47,100,2023-01
ddf56e1d-e5e,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-01-03T16:12:00,2023-01-03T18:56:00,4.12,1.67,1.51,164,8,85,2023-01
07d8be96-58f,EVC-SUR-0060,Surat,Bharat_DC,7.4,Office,2023-01-03T08:47:00,2023-01-03T10:13:00,9.26,7.72,6.46,86,34,100,2023-01
9f1abfcb-735,EVC-ANA-0012,Anand,Type2_AC,50,Residential,2023-01-03T12:08:00,2023-01-03T15:07:00,100.25,35.33,33.6,179,28,55,2023-01
960cec6d-1cf,EVC-RAJ-0064,Rajkot,CHAdeMO,120,Office,2023-01-03T12:09:00,2023-01-03T16:05:00,212.22,56.86,53.95,236,45,77,2023-01
46580f16-f0f,EVC-MEH-0082,Mehsana,CHAdeMO,60,Office,2023-01-03T10:55:00,2023-01-03T12:31:00,76.05,49.14,47.53,96,26,73,2023-01
86e32574-cae,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-01-03T21:37:00,2023-01-03T23:47:00,85.66,44.2,39.53,130,36,75,2023-01
526566d9-860,EVC-BHA-0031,Bharuch,CCS2,3.3,Highway,2023-01-03T09:48:00,2023-01-03T12:34:00,3.92,1.46,1.42,166,24,44,2023-01
ff8fcf15-c9c,EVC-AHM-0002,Ahmedabad,CHAdeMO,60,Mall,2023-01-03T18:11:00,2023-01-03T19:20:00,60.26,60.79,52.4,69,49,99,2023-01
7c14f772-5bc,EVC-MEH-0029,Mehsana,Bharat_DC,60,Office,2023-01-03T07:24:00,2023-01-03T11:04:00,120.43,39.14,32.84,220,26,76,2023-01
5fe5680f-ca9,EVC-JAM-0055,Jamnagar,Bharat_DC,22,Highway,2023-01-03T13:44:00,2023-01-03T17:33:00,66.08,18.67,17.31,229,33,70,2023-01
e4e65fbb-d51,EVC-RAJ-0040,Rajkot,CCS2,3.3,Office,2023-01-04T17:06:00,2023-01-04T17:18:00,0.36,2.05,1.79,12,39,68,2023-01
21b6e339-6d5,EVC-AHM-0095,Ahmedabad,CHAdeMO,120,Office,2023-01-04T11:26:00,2023-01-04T12:37:00,102.32,99.66,86.47,71,47,84,2023-01
612e952f-8ab,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-01-04T21:11:00,2023-01-04T23:08:00,3.58,1.88,1.83,117,28,100,2023-01
0ae0ce40-de4,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-01-04T17:01:00,2023-01-04T20:04:00,119.53,45.64,39.19,183,36,100,2023-01
f40e960e-1fe,EVC-AHM-0073,Ahmedabad,CCS2,3.3,Residential,2023-01-04T13:50:00,2023-01-04T15:56:00,5.76,3.2,2.74,126,35,60,2023-01
d92f6bf3-592,EVC-GAN-0100,Gandhinagar,Type2_AC,120,Public,2023-01-04T10:02:00,2023-01-04T11:59:00,147.17,75.8,75.47,117,43,87,2023-01
a71c176f-795,EVC-MEH-0006,Mehsana,CCS2,120,Mall,2023-01-04T12:43:00,2023-01-04T13:45:00,77.01,88.82,74.53,62,22,72,2023-01
0c67c644-3c8,EVC-RAJ-0087,Rajkot,Type2_AC,7.4,Highway,2023-01-04T19:51:00,2023-01-04T20:38:00,4.92,7.02,6.28,47,16,59,2023-01
5a7830cf-e8d,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-01-05T15:07:00,2023-01-05T15:22:00,0.71,3.29,2.84,15,7,44,2023-01
34f03460-95c,EVC-SUR-0085,Surat,Type2_AC,3.3,Residential,2023-01-05T13:18:00,2023-01-05T15:50:00,5.94,2.36,2.35,152,17,79,2023-01
f46259e0-3e0,EVC-AHM-0084,Ahmedabad,Bharat_DC,22,Residential,2023-01-05T09:30:00,2023-01-05T09:55:00,4.63,13.18,11.12,25,35,63,2023-01
dcf8563a-37d,EVC-GAN-0079,Gandhinagar,CCS2,60,Residential,2023-01-05T10:54:00,2023-01-05T12:10:00,50.87,40.87,40.16,76,38,74,2023-01
a684d8e3-879,EVC-ANA-0063,Anand,Type2_AC,120,Highway,2023-01-05T13:25:00,2023-01-05T14:46:00,132.88,105.72,98.43,81,6,41,2023-01
708eeca1-a9c,EVC-VAD-0076,Vadodara,Type2_AC,120,Residential,2023-01-05T06:44:00,2023-01-05T09:00:00,171.55,83.5,75.68,136,15,81,2023-01
b9496d87-b7f,EVC-BHA-0035,Bharuch,Type2_AC,7.4,Public,2023-01-05T20:32:00,2023-01-05T21:00:00,2.51,5.78,5.38,28,49,100,2023-01
e296ed0f-676,EVC-RAJ-0064,Rajkot,CHAdeMO,120,Office,2023-01-05T03:43:00,2023-01-05T04:32:00,41.13,59.59,50.36,49,29,98,2023-01
2a889b31-b23,EVC-RAJ-0087,Rajkot,Type2_AC,7.4,Highway,2023-01-05T09:12:00,2023-01-05T11:06:00,9.27,5.43,4.88,114,8,65,2023-01
af741e12-d35,EVC-ANA-0058,Anand,Type2_AC,150,Mall,2023-01-05T17:41:00,2023-01-05T21:27:00,231.01,70.07,61.33,226,44,98,2023-01
a7408fc6-9e7,EVC-ANA-0042,Anand,CCS2,3.3,Public,2023-01-06T20:01:00,2023-01-06T22:46:00,3.96,1.48,1.44,165,19,81,2023-01
2cc99ec2-0c4,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-01-06T10:20:00,2023-01-06T11:41:00,34.63,30.65,25.65,81,32,94,2023-01
85629231-6c7,EVC-SUR-0060,Surat,Bharat_DC,7.4,Office,2023-01-06T14:25:00,2023-01-06T14:49:00,2.22,6.15,5.56,24,45,89,2023-01
1534c33a-a55,EVC-BHA-0010,Bhavnagar,Bharat_DC,60,Mall,2023-01-06T19:02:00,2023-01-06T19:45:00,36.31,52.91,50.66,43,21,76,2023-01
b14b649c-4b7,EVC-AHM-0013,Ahmedabad,Bharat_DC,22,Residential,2023-01-06T21:36:00,2023-01-06T23:53:00,32.98,16.13,14.44,137,44,85,2023-01
0bb71f08-a0a,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-01-06T19:27:00,2023-01-06T19:55:00,24.77,62.62,53.08,28,29,66,2023-01
87cbd842-2a4,EVC-MEH-0082,Mehsana,CHAdeMO,60,Office,2023-01-06T18:02:00,2023-01-06T20:23:00,102.88,45.87,43.78,141,19,60,2023-01
bf8f5ccc-31c,EVC-GAN-0047,Gandhinagar,Bharat_DC,120,Mall,2023-01-06T13:26:00,2023-01-06T15:43:00,156.32,79.77,68.46,137,7,65,2023-01
428e8659-135,EVC-GAN-0088,Gandhinagar,CHAdeMO,150,Public,2023-01-06T17:13:00,2023-01-06T19:30:00,296.35,141.21,129.79,137,20,89,2023-01
b0130964-2be,EVC-GAN-0047,Gandhinagar,Bharat_DC,120,Mall,2023-01-06T18:40:00,2023-01-06T19:04:00,30.57,88.61,76.43,24,16,95,2023-01
cf64ced2-a8d,EVC-SUR-0093,Surat,CHAdeMO,60,Highway,2023-01-06T20:06:00,2023-01-06T21:04:00,32.03,35.47,33.13,58,42,100,2023-01
0df4b221-628,EVC-JAM-0078,Jamnagar,Bharat_DC,50,Highway,2023-01-06T20:03:00,2023-01-06T20:32:00,17.67,43.74,36.57,29,20,47,2023-01
617eb735-5e1,EVC-SUR-0005,Surat,CHAdeMO,120,Highway,2023-01-07T11:37:00,2023-01-07T13:50:00,198.29,92.79,89.45,133,22,94,2023-01
e0ec6a87-bf6,EVC-GAN-0100,Gandhinagar,Type2_AC,120,Public,2023-01-07T17:54:00,2023-01-07T19:57:00,190.1,108.29,92.73,123,13,52,2023-01
a1d76240-9c4,EVC-RAJ-0037,Rajkot,Type2_AC,22,Public,2023-01-07T18:58:00,2023-01-07T20:18:00,17.77,14.37,13.33,80,35,100,2023-01
a3a62890-c20,EVC-GAN-0096,Gandhinagar,CHAdeMO,120,Public,2023-01-07T09:30:00,2023-01-07T11:01:00,101.31,73.27,66.79,91,45,70,2023-01
f03da488-230,EVC-AHM-0097,Ahmedabad,CCS2,3.3,Mall,2023-01-07T08:12:00,2023-01-07T09:42:00,2.68,1.84,1.79,90,44,100,2023-01
b02a1510-8bf,EVC-AHM-0097,Ahmedabad,CCS2,3.3,Mall,2023-01-07T12:58:00,2023-01-07T13:52:00,1.99,2.58,2.21,54,15,58,2023-01
0c2b021d-704,EVC-ANA-0042,Anand,CCS2,3.3,Public,2023-01-07T15:31:00,2023-01-07T18:29:00,5.37,2.09,1.81,178,50,100,2023-01
55379821-2e9,EVC-VAD-0076,Vadodara,Type2_AC,120,Residential,2023-01-07T21:51:00,2023-01-07T22:29:00,68.76,113.91,108.57,38,49,100,2023-01
3bb93f87-167,EVC-GAN-0100,Gandhinagar,Type2_AC,120,Public,2023-01-07T16:06:00,2023-01-07T18:35:00,202.16,91.56,81.41,149,48,71,2023-01
9b75038d-66e,EVC-BHA-0035,Bharuch,Type2_AC,7.4,Public,2023-01-07T19:05:00,2023-01-07T20:52:00,9.71,6.03,5.44,107,25,58,2023-01
12f4caad-8b4,EVC-SUR-0028,Surat,CCS2,7.4,Mall,2023-01-07T08:57:00,2023-01-07T10:20:00,6.75,5.19,4.88,83,15,59,2023-01
0aed94b9-4e2,EVC-MEH-0029,Mehsana,Bharat_DC,60,Office,2023-01-07T06:53:00,2023-01-07T10:46:00,204.28,59.64,52.61,233,43,73,2023-01
aa06f51d-0f6,EVC-JAM-0043,Jamnagar,Type2_AC,60,Office,2023-01-07T02:08:00,2023-01-07T04:01:00,93.45,52.62,49.62,113,10,64,2023-01
3641139b-377,EVC-SUR-0028,Surat,CCS2,7.4,Mall,2023-01-07T13:22:00,2023-01-07T16:52:00,15.65,5.19,4.47,210,24,60,2023-01
9393fe4e-dae,EVC-BHA-0019,Bharuch,CCS2,7.4,Public,2023-01-07T19:35:00,2023-01-07T20:27:00,5.08,6.76,5.86,52,12,50,2023-01
85ad1705-789,EVC-SUR-0099,Surat,CHAdeMO,150,Public,2023-01-07T15:26:00,2023-01-07T19:02:00,307.34,88.72,85.37,216,16,75,2023-01
cb4c4069-f08,EVC-JAM-0041,Jamnagar,CHAdeMO,60,Office,2023-01-07T17:24:00,2023-01-07T20:48:00,148.43,48.63,43.66,204,8,67,2023-01
0dd3e86c-160,EVC-SUR-0060,Surat,Bharat_DC,7.4,Office,2023-01-07T11:51:00,2023-01-07T15:11:00,20.45,6.95,6.14,200,7,75,2023-01
ff386281-1f8,EVC-JAM-0080,Jamnagar,CHAdeMO,120,Residential,2023-01-07T08:00:00,2023-01-07T11:52:00,305.77,87.09,79.08,232,13,87,2023-01
486460ef-c77,EVC-AHM-0095,Ahmedabad,CHAdeMO,120,Office,2023-01-07T13:24:00,2023-01-07T16:40:00,170.2,53.8,52.1,196,12,35,2023-01
cb82c896-798,EVC-BHA-0007,Bhavnagar,Bharat_DC,50,Office,2023-01-07T18:31:00,2023-01-07T21:46:00,100.41,35.44,30.9,195,38,100,2023-01
eec821cd-851,EVC-ANA-0058,Anand,Type2_AC,150,Mall,2023-01-07T14:20:00,2023-01-07T16:20:00,194.54,115.94,97.27,120,45,100,2023-01
df28b0ac-81c,EVC-GAN-0094,Gandhinagar,Type2_AC,3.3,Residential,2023-01-07T07:19:00,2023-01-07T10:49:00,8.18,2.77,2.34,210,27,73,2023-01
5942aa6f-934,EVC-JAM-0077,Jamnagar,CCS2,7.4,Highway,2023-01-08T17:38:00,2023-01-08T19:16:00,10.51,7.34,6.43,98,16,75,2023-01
2f76f3ab-3b6,EVC-ANA-0012,Anand,Type2_AC,50,Residential,2023-01-08T16:28:00,2023-01-08T16:41:00,4.44,21.83,20.51,13,38,98,2023-01
64d4d1bf-815,EVC-BHA-0031,Bharuch,CCS2,3.3,Highway,2023-01-08T21:45:00,2023-01-09T00:06:00,7.01,3.36,2.98,141,45,91,2023-01
8c985990-1a9,EVC-JAM-0055,Jamnagar,Bharat_DC,22,Highway,2023-01-08T16:21:00,2023-01-08T17:02:00,11.45,17.98,16.75,41,44,100,2023-01
167a0a13-9cb,EVC-BHA-0010,Bhavnagar,Bharat_DC,60,Mall,2023-01-08T11:08:00,2023-01-08T12:02:00,29.4,38.38,32.67,54,29,59,2023-01
40d2e6e4-041,EVC-AHM-0053,Ahmedabad,Type2_AC,150,Public,2023-01-08T08:11:00,2023-01-08T08:22:00,20.57,117.03,112.18,11,26,100,2023-01
4f67f906-ee1,EVC-BHA-0057,Bhavnagar,CCS2,22,Office,2023-01-08T18:12:00,2023-01-08T21:52:00,44.46,12.3,12.12,220,30,50,2023-01
56734bf4-406,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-01-08T14:02:00,2023-01-08T15:44:00,19.56,11.91,11.5,102,13,45,2023-01
5b311346-00f,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-01-08T12:11:00,2023-01-08T15:41:00,95.29,28.12,27.23,210,18,50,2023-01
1df40da1-a78,EVC-AHM-0073,Ahmedabad,CCS2,3.3,Residential,2023-01-08T13:54:00,2023-01-08T15:01:00,1.93,1.87,1.73,67,13,76,2023-01
0c784ff0-47f,EVC-SUR-0028,Surat,CCS2,7.4,Mall,2023-01-08T10:52:00,2023-01-08T12:26:00,8.13,6.2,5.19,94,13,34,2023-01
3656ca36-50f,EVC-BHA-0018,Bhavnagar,Bharat_DC,3.3,Office,2023-01-08T19:18:00,2023-01-08T20:56:00,3.95,2.69,2.42,98,31,55,2023-01
b9bd02b3-7e5,EVC-RAJ-0009,Rajkot,Type2_AC,3.3,Highway,2023-01-08T05:36:00,2023-01-08T09:05:00,8.55,2.47,2.45,209,29,65,2023-01
62bc349e-0ff,EVC-BHA-0062,Bharuch,Type2_AC,7.4,Public,2023-01-08T21:40:00,2023-01-09T00:38:00,15.63,5.93,5.27,178,9,65,2023-01
c4dae0ea-d9e,EVC-RAJ-0069,Rajkot,CCS2,3.3,Residential,2023-01-08T15:00:00,2023-01-08T16:37:00,4.8,3.28,2.97,97,50,81,2023-01
8e11f50c-1c8,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-01-08T20:39:00,2023-01-09T00:30:00,72.88,21.72,18.93,231,31,55,2023-01
f24c51c5-fa4,EVC-RAJ-0069,Rajkot,CCS2,3.3,Residential,2023-01-08T08:27:00,2023-01-08T12:01:00,10.78,3.6,3.02,214,37,70,2023-01
401dadd7-6b0,EVC-RAJ-0064,Rajkot,CHAdeMO,120,Office,2023-01-09T12:52:00,2023-01-09T15:00:00,174.48,94.55,81.79,128,35,92,2023-01
25059563-80c,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-01-09T08:32:00,2023-01-09T12:04:00,52.8,16.79,14.94,212,28,59,2023-01
344b822c-612,EVC-RAJ-0044,Rajkot,Bharat_DC,60,Residential,2023-01-09T16:56:00,2023-01-09T17:35:00,23.57,36.96,36.27,39,25,76,2023-01
23dcb92b-145,EVC-BHA-0050,Bharuch,Bharat_DC,50,Highway,2023-01-09T16:11:00,2023-01-09T18:48:00,82.16,35.57,31.4,157,28,81,2023-01
79442fb3-a02,EVC-AHM-0039,Ahmedabad,Type2_AC,3.3,Public,2023-01-09T14:38:00,2023-01-09T18:28:00,5.48,1.49,1.43,230,26,71,2023-01
6242cfdd-f2f,EVC-MEH-0051,Mehsana,Type2_AC,22,Public,2023-01-09T20:27:00,2023-01-09T21:46:00,20.27,15.73,15.39,79,31,54,2023-01
eac9e3fc-b17,EVC-BHA-0007,Bhavnagar,Bharat_DC,50,Office,2023-01-09T08:39:00,2023-01-09T09:00:00,7.1,23.92,20.27,21,13,86,2023-01
7c536832-36f,EVC-JAM-0041,Jamnagar,CHAdeMO,60,Office,2023-01-09T19:37:00,2023-01-09T23:04:00,117.82,34.72,34.15,207,43,70,2023-01
b50bee12-a29,EVC-RAJ-0064,Rajkot,CHAdeMO,120,Office,2023-01-10T11:54:00,2023-01-10T13:39:00,152.61,87.9,87.2,105,10,45,2023-01
8f61665e-cee,EVC-AHM-0003,Ahmedabad,CCS2,22,Public,2023-01-10T20:59:00,2023-01-11T00:57:00,79.06,23.31,19.93,238,20,67,2023-01
a4987265-c24,EVC-JAM-0043,Jamnagar,Type2_AC,60,Office,2023-01-10T08:18:00,2023-01-10T11:44:00,128.43,37.84,37.41,206,15,83,2023-01
c9708068-5e9,EVC-GAN-0079,Gandhinagar,CCS2,60,Residential,2023-01-10T11:07:00,2023-01-10T14:07:00,84.12,28.27,28.04,180,43,76,2023-01
312de29a-3a5,EVC-BHA-0035,Bharuch,Type2_AC,7.4,Public,2023-01-10T17:56:00,2023-01-10T19:09:00,5.83,5.15,4.79,73,43,100,2023-01
5ab0665a-2a2,EVC-SUR-0068,Surat,CHAdeMO,60,Mall,2023-01-10T10:11:00,2023-01-10T13:03:00,104.24,42.46,36.36,172,11,45,2023-01
19c1145c-96e,EVC-SUR-0005,Surat,CHAdeMO,120,Highway,2023-01-10T04:06:00,2023-01-10T04:37:00,35.51,72.58,68.73,31,34,99,2023-01
c7737472-a14,EVC-SUR-0052,Surat,CHAdeMO,120,Highway,2023-01-10T09:42:00,2023-01-10T12:03:00,241.27,108.61,102.67,141,22,51,2023-01
a92756ee-288,EVC-MEH-0070,Mehsana,Type2_AC,22,Residential,2023-01-10T08:42:00,2023-01-10T12:36:00,38.27,11.46,9.81,234,28,78,2023-01
0f023506-7c5,EVC-MEH-0070,Mehsana,Type2_AC,22,Residential,2023-01-10T19:05:00,2023-01-10T22:58:00,64.46,17.81,16.6,233,23,97,2023-01
50b8faca-575,EVC-JAM-0043,Jamnagar,Type2_AC,60,Office,2023-01-11T13:43:00,2023-01-11T14:20:00,17.92,31.17,29.05,37,38,83,2023-01
78a14e97-ee1,EVC-JUN-0001,Junagadh,CCS2,22,Public,2023-01-11T14:24:00,2023-01-11T14:52:00,7.39,18.03,15.84,28,38,100,2023-01
4165a367-795,EVC-GAN-0071,Gandhinagar,Bharat_DC,22,Mall,2023-01-11T15:14:00,2023-01-11T16:48:00,30.72,20.78,19.61,94,26,100,2023-01
f013d8ae-e64,EVC-RAJ-0030,Rajkot,Bharat_DC,3.3,Public,2023-01-11T19:29:00,2023-01-11T20:09:00,1.61,2.67,2.42,40,32,92,2023-01
cde10358-c1d,EVC-GAN-0071,Gandhinagar,Bharat_DC,22,Mall,2023-01-11T22:56:00,2023-01-12T01:45:00,26.8,9.78,9.51,169,24,67,2023-01
a2d360d8-59d,EVC-JUN-0001,Junagadh,CCS2,22,Public,2023-01-11T13:21:00,2023-01-11T16:02:00,39.86,16.84,14.85,161,22,54,2023-01
c0e2eb66-916,EVC-BHA-0015,Bharuch,CCS2,3.3,Office,2023-01-11T13:57:00,2023-01-11T16:44:00,5.46,2.22,1.96,167,8,70,2023-01
39e994ec-81e,EVC-GAN-0033,Gandhinagar,Type2_AC,7.4,Highway,2023-01-11T19:27:00,2023-01-11T21:04:00,9.91,7.17,6.13,97,37,90,2023-01
211d881b-bab,EVC-JAM-0055,Jamnagar,Bharat_DC,22,Highway,2023-01-11T11:29:00,2023-01-11T13:54:00,25.05,11.33,10.36,145,45,79,2023-01
69c04476-8a6,EVC-GAN-0096,Gandhinagar,CHAdeMO,120,Public,2023-01-11T16:02:00,2023-01-11T18:37:00,242.6,109.48,93.91,155,10,47,2023-01
9fbe87a9-591,EVC-RAJ-0037,Rajkot,Type2_AC,22,Public,2023-01-11T09:51:00,2023-01-11T13:26:00,64.34,18.76,17.96,215,19,73,2023-01
532ccf30-eca,EVC-AHM-0039,Ahmedabad,Type2_AC,3.3,Public,2023-01-11T10:31:00,2023-01-11T10:45:00,0.63,2.74,2.69,14,39,88,2023-01
a82ff7bd-1fa,EVC-VAD-0056,Vadodara,Bharat_DC,120,Office,2023-01-11T05:03:00,2023-01-11T07:40:00,126.35,54.97,48.29,157,19,45,2023-01
767874d1-907,EVC-SUR-0017,Surat,CHAdeMO,22,Mall,2023-01-11T09:08:00,2023-01-11T11:23:00,39.37,19.36,17.5,135,28,50,2023-01
639a5964-599,EVC-BHA-0038,Bharuch,CCS2,7.4,Office,2023-01-11T19:35:00,2023-01-11T21:41:00,11.76,6.35,5.6,126,17,39,2023-01
7fdd4f6b-697,EVC-SUR-0008,Surat,Bharat_DC,120,Office,2023-01-11T21:43:00,2023-01-12T00:44:00,231.45,78.63,76.72,181,37,73,2023-01
369a30dd-c46,EVC-MEH-0006,Mehsana,CCS2,120,Mall,2023-01-11T18:49:00,2023-01-11T20:04:00,123.44,101.29,98.75,75,17,96,2023-01
2ae2bf9a-7e9,EVC-RAJ-0037,Rajkot,Type2_AC,22,Public,2023-01-11T16:57:00,2023-01-11T20:33:00,71.68,23.23,19.91,216,22,51,2023-01
9740b89c-8b5,EVC-SUR-0052,Surat,CHAdeMO,120,Highway,2023-01-11T12:16:00,2023-01-11T15:13:00,305.21,115.53,103.46,177,33,100,2023-01
91b3c4de-21c,EVC-BHA-0057,Bhavnagar,CCS2,22,Office,2023-01-12T19:10:00,2023-01-12T23:09:00,78.67,22.16,19.75,239,32,81,2023-01
df14066a-b2c,EVC-MEH-0029,Mehsana,Bharat_DC,60,Office,2023-01-12T10:45:00,2023-01-12T11:13:00,16.95,38.35,36.32,28,19,53,2023-01
